,actual,day,night,occTotal,occDay,occNight,tem,ws,humid,sr,sim,simDay,simNight,intensity
01/01/2019,5851.5441,2643.596707,3207.947393,85.75,35,50.75,6.425285171,2.464279777,72.13590264,72.18204819,5767.015006,3068.825307,2698.189699,13.6875
02/01/2019,7228.225493,3435.068358,3793.157135,955.25,750.75,204.5,3.601473297,1.697626459,70.7938343,37.02342365,5660.884649,3061.478866,2599.405783,59.10416667
03/01/2019,7589.192522,3644.227729,3944.964794,1058.5,798.75,259.75,2.59078341,1.259033172,76.58995816,2.04668435,5158.766518,2792.610611,2366.155907,67.39583333
04/01/2019,7645.540312,3728.516077,3917.024235,1148,831,317,4.687192118,2.07743049,81.56270096,89.06320542,6124.237007,3276.26851,2847.968497,48.04166667
01/04/2019,7650.895029,3791.783472,3859.111557,1322.75,948.5,374.25,5.487735192,1.419043152,70.75106383,208.1032099,2900.058681,1607.797518,1292.261163,42.91666667
02/04/2019,7760.122366,3987.238168,3772.884197,1396.25,1033.75,362.5,5.762783172,1.777233942,73.05308465,218.5145276,1875.713804,678.3458523,1197.367952,44.45833333
03/04/2019,8311.195564,4356.26292,3954.932645,1404.75,1054.25,350.5,4.259478886,2.106766608,81.2739726,165.452429,5498.97144,2946.684699,2552.28674,47.3125
04/04/2019,7825.840747,3983.088046,3842.7527,1503.75,1067.25,436.5,6.258827893,2.106259759,76.23076923,287.4605292,4543.659889,2626.522527,1917.137362,37.20833333
05/04/2019,7586.894029,3929.747264,3657.146765,1386,1038.5,347.5,8.940501213,2.422017348,73.05,348.5673164,4209.932864,2535.152766,1674.780097,39.25
08/04/2019,7508.639454,3968.972928,3539.666526,1207,912.25,294.75,6.870700637,2.041087599,89.02371542,89.7705906,2429.682034,1374.138644,1055.54339,36.83333333
09/04/2019,7157.098688,3654.162701,3502.935987,1372.75,1006.75,366,7.664416586,1.458507112,70.22795699,261.3136312,1192.180265,497.5902947,694.5899698,45.75
10/04/2019,7356.617525,3848.536229,3508.081296,1343.75,1015.5,328.25,6.862618084,1.063236411,63.22887324,201.9964297,4249.334277,2534.675826,1714.658451,66.4375
11/04/2019,7112.190557,3458.387261,3653.803296,1354.5,1012.75,341.75,8.697183099,1.202742144,57.41704036,438.4683618,3911.953579,2423.729615,1488.223963,57.875
12/04/2019,6549.211096,3240.647436,3308.56366,1338,1015.75,322.25,6.78858351,1.489891816,64.00135501,352.2537708,4311.759394,2495.099474,1816.659919,35.08333333
15/04/2019,7060.090028,3532.870873,3527.219154,1319.25,1007,312.25,7.294025974,2.275674118,72.91411043,340.7577838,2151.536565,1270.679205,880.8573595,36.83333333
16/04/2019,6917.391207,3715.582976,3201.808231,1322.75,971.25,351.5,7.886414254,2.231609831,83.77083333,177.7336609,1466.138573,543.7202574,922.4183153,48.47916667
17/04/2019,6337.204508,3192.097859,3145.106648,1350.5,974.5,376,10.70652759,1.096466068,73.0483871,359.1223041,4479.25766,2612.180026,1867.077634,40.64583333
18/04/2019,5998.446271,2982.916376,3015.529895,1281.25,963,318.25,11.99155194,1.019539062,72,385.3615057,4232.702418,2526.252102,1706.450316,32.0625
19/04/2019,5283.752775,2576.416849,2707.335926,403.75,253.75,150,14.57929465,0.855015504,60.35483871,277.5275132,4229.099087,2481.023718,1748.07537,18.85416667
22/04/2019,5263.592235,2580.212983,2683.379252,504.5,301.5,203,14.75122121,1.637278302,53.89156627,418.0850662,2274.949267,1279.034553,995.9147142,24.41666667
23/04/2019,6454.135569,3408.287634,3045.847935,1377.25,1025.75,351.5,10.88412322,1.510974976,77.75510204,314.2371709,1159.954066,478.9805112,680.9735545,40.35416667
24/04/2019,5676.67663,2844.043672,2832.632958,925.25,635.75,289.5,10.77228261,1.316397059,84.77386935,195.7083593,3932.680446,2418.600419,1514.080026,23.08333333
25/04/2019,6827.976262,3769.055208,3058.921053,1451.5,1068.5,383,10.05297723,1.415999291,83.54137116,162.0891549,3889.505248,2398.818166,1490.687082,15.79166667
26/04/2019,6460.157608,3486.341137,2973.81647,1424.75,1051.75,373,10.02529762,1.619350879,75.91666667,272.0040084,4453.640848,2532.705531,1920.935317,16.4375
17/06/2019,6186.738896,3378.584187,2808.154709,1411.25,1050,361.25,17.09886864,2.038446511,60.06226175,444.9911243,2136.175469,1232.458119,903.7173501,20.20833333
18/06/2019,6154.408436,3465.983478,2688.424959,1378,992.25,385.75,18.05321999,1.388931775,55.09032944,441.6266051,1147.633492,474.6405727,672.9929189,25.33333333
19/06/2019,6179.507449,3460.301338,2719.206111,1416,1009.5,406.5,15.59417077,1.417087321,69.77699294,271.4942621,3974.939696,2442.244694,1532.695002,40.6875
20/06/2019,6068.6309,3173.137499,2895.493401,1411.75,1005.5,406.25,14.85570406,2.243181657,58.60303688,453.4537747,3810.358089,2386.483959,1423.87413,31.6875
21/06/2019,5929.809642,3052.016771,2877.79287,1310,979.75,330.25,15.20154613,2.444217631,58.92755214,463.9428037,3806.549275,2383.214906,1423.334369,43.39583333
24/06/2019,6907.252254,4046.134114,2861.11814,1415,1051,364,15.31237006,1.121474698,92.51587302,130.9215945,1998.403472,1181.303351,817.1001208,49.14583333
25/06/2019,6737.638642,3626.428304,3111.210338,1449.25,1051.25,398,12.35942029,1.963297722,95.48611111,72.80542136,1160.541496,476.1314809,684.410015,65.875
26/06/2019,6412.097529,3380.856087,3031.241442,1415,1023.25,391.75,13.66087937,1.336216567,72.5832084,384.1191682,3944.354811,2420.619432,1523.73538,49.20833333
27/06/2019,6479.734636,3663.646056,2816.088579,1382,1019.5,362.5,18.21269157,0.963654096,63.79072682,510.1323148,3757.039226,2376.043245,1380.995982,38.89583333
28/06/2019,6223.206315,3497.14033,2726.065985,1264,961.75,302.25,15.83239212,1.65446781,75.07446809,497.8892541,3738.869176,2373.674343,1365.194833,41.83333333
01/07/2019,6737.655412,4019.406533,2718.248878,1335.5,978.5,357,17.28025655,3.624699531,66.3298153,424.7404492,2364.888076,1679.6844,685.2036758,31.70833333
02/07/2019,6563.456136,3638.997675,2924.458461,1437.75,1047.25,390.5,16.05450205,2.615496876,60.99460189,322.7882329,1159.977664,495.0207417,664.9569223,37.85416667
03/07/2019,6398.236979,3566.655592,2831.581387,1358,1013.75,344.25,17.0373057,1.801067813,59.89205397,406.0786564,3971.193861,2653.811083,1317.382778,53.5625
04/07/2019,6476.026747,3665.790908,2810.235839,1357.25,1049,308.25,16.50778182,3.142387832,69.75263158,399.2427518,5082.278574,3540.225247,1542.053327,33.58333333
05/07/2019,6607.639091,4002.555973,2605.083118,1344.75,1038.75,306,17.34503632,3.437224303,73.06533575,308.9280036,4371.261269,3056.906226,1314.355042,32.375
08/07/2019,6460.768499,3452.464356,3008.304143,1080.5,808.5,272,15.58568493,0.941584147,65.32574431,391.9000249,1884.5836,1137.499587,747.0840122,71.60416667
09/07/2019,6655.88771,3877.346468,2778.541241,1126.25,818.25,308,15.2472028,1.026636856,87.80178174,115.6226626,1137.420067,473.9250279,663.4950391,60.54166667
